max_df,min_df,max_features,actual_words,acc,prec,rec,f1,K,alpha,timeKNN,timePCA
0.2,0.05,10000,330,0.7094820717131474,0.700314465408805,0.7190829835324507,0.709574637565716,800,50,11.06558084487915,5.587686777114868
0.2,0.05,10000,330,0.719203187250996,0.7372911482403128,0.6696803358088472,0.7018612521150591,1500,50,13.582288026809692,5.587686777114868
0.2,0.05,10000,330,0.6803187250996016,0.6670750382848392,0.7032612205360026,0.6846903489468721,25,200,69.30434799194336,30.833685874938965
0.2,0.05,10000,330,0.6900398406374502,0.6329639889196675,0.8853729415563448,0.73818818145107,250,200,67.20430421829224,30.833685874938965
0.2,0.05,10000,330,0.6733067729083665,0.6139281828073994,0.9108814982240878,0.7334893395735831,450,200,78.47044396400452,30.833685874938965
0.2,0.05,10000,330,0.6634262948207171,0.604365331638059,0.9208911850177591,0.72978505629478,550,200,72.36528086662292,30.833685874938965
0.2,0.05,10000,330,0.6423904382470119,0.5869520897043833,0.9296092993219245,0.7195701074731317,800,200,107.43089270591736,30.833685874938965
0.2,0.05,10000,330,0.6921115537848606,0.6325973139084908,0.8973199870842751,0.742056074766355,1500,200,62.234753131866455,30.833685874938965
0.2,0.02,10000,911,0.6704382470119522,0.6517251548215865,0.7135938004520503,0.6812577065351418,25,0,227.35182404518127,0.002541065216064453
0.2,0.02,10000,911,0.560796812749004,0.5295750216825672,0.9857927026154343,0.6890092529902957,250,0,173.5194959640503,0.002541065216064453
0.2,0.02,10000,911,0.5502788844621513,0.5235404896421846,0.9874071682273168,0.6842694115014545,450,0,160.71388006210327,0.002541065216064453
0.2,0.02,10000,911,0.5491633466135458,0.5229059829059829,0.9877300613496932,0.6838046272493573,550,0,159.77185797691345,0.002541065216064453
0.2,0.02,10000,911,0.5528286852589641,0.5249699673931697,0.9877300613496932,0.6855670103092784,800,0,156.3260691165924,0.002541065216064453
0.2,0.02,10000,911,0.6213545816733068,0.567826904985889,0.974491443332257,0.7175463623395149,1500,0,161.70860290527344,0.002541065216064453
0.2,0.02,10000,911,0.6943426294820717,0.7073513893774183,0.6493380690991282,0.6771043771043772,25,10,3.5160765647888184,11.249160051345825
0.2,0.02,10000,911,0.7029482071713148,0.7361164304864036,0.6206005812076203,0.6734407848633497,250,10,3.4241127967834473,11.249160051345825
0.2,0.02,10000,911,0.7061354581673307,0.7539521686258613,0.6005812076202777,0.6685837526959022,450,10,3.338001012802124,11.249160051345825
0.2,0.02,10000,911,0.7053386454183267,0.7544861337683524,0.5973522763965128,0.6667868084339521,550,10,3.56695294380188,11.249160051345825
0.2,0.02,10000,911,0.7031075697211155,0.7641267123287672,0.5763642234420406,0.6570955273329652,800,10,3.261112928390503,11.249160051345825
0.2,0.02,10000,911,0.6906772908366534,0.7822265625,0.5172747820471424,0.6227405247813411,1500,10,3.3151638507843018,11.249160051345825
0.2,0.02,10000,911,0.7019920318725099,0.7110423116615067,0.6674200839522119,0.6885409726848768,25,50,11.728532075881958,54.75756502151489
0.2,0.02,10000,911,0.7348207171314741,0.7471541911003794,0.6993865030674846,0.7224816544362908,250,50,13.0152587890625,54.75756502151489
0.2,0.02,10000,911,0.7410358565737052,0.7597035991531405,0.6951888924765902,0.7260158489293542,450,50,12.459175109863281,54.75756502151489
0.2,0.02,10000,911,0.7383266932270917,0.7608461814270348,0.6851792056829189,0.7210329595650696,550,50,11.635541915893555,54.75756502151489
0.2,0.02,10000,911,0.7337051792828685,0.7615553925165077,0.6703261220536002,0.7130345182895413,800,50,10.973781108856201,54.75756502151489
0.2,0.02,10000,911,0.7279681274900398,0.8032286212914486,0.5944462382951243,0.683243644460939,1500,50,10.78007197380066,54.75756502151489
0.2,0.02,10000,911,0.6989641434262949,0.6900566393958465,0.70810461737165,0.6989641434262948,25,200,62.42868399620056,247.39949584007263
0.2,0.02,10000,911,0.7415139442231076,0.6899304661344321,0.8650306748466258,0.767621776504298,250,200,64.40981101989746,247.39949584007263
0.2,0.02,10000,911,0.7265338645418327,0.665151877541258,0.897965773329028,0.7642209398186314,450,200,60.57850503921509,247.39949584007263
0.2,0.02,10000,911,0.7054980079681274,0.6433325682809272,0.9050694220213109,0.7520794204453984,550,200,64.222097158432,247.39949584007263
0.2,0.02,10000,911,0.6957768924302788,0.6330645161290323,0.9124959638359703,0.7475201692897765,800,200,67.2309262752533,247.39949584007263
0.2,0.02,10000,911,0.7423107569721116,0.6953537486800423,0.8505004843396836,0.7651416122004356,1500,200,59.44467902183533,247.39949584007263
0.2,0.02,10000,911,0.6696414342629482,0.6294891249367729,0.803680981595092,0.7059991490568714,25,600,222.7698209285736,689.3205819129944
0.2,0.02,10000,911,0.5772111553784861,0.5394316163410302,0.9806264126574104,0.6960009166953133,250,600,215.18013072013855,689.3205819129944
